12.51;[0];[0, 2];[0, 1, 2];[1, 1]
12.51;[0, 1];[1];[0, 2];[0, 1, 2]
12.51;[0, 1];[0];[0, 1, 1];[0, 2, 2]
12.51;[0, 1];[0];[0, 2];[0, 1, 1, 2]
12.51;[0, 1];[0, 1];[0, 1];[0, 2, 2]
12.51;[0, 1];[0, 1];[0, 1, 2];[2]
12.51;[0, 1];[0, 1, 1];[2];[2]
12.51;[0, 1];[0, 1, 1];[0];[0, 2, 2]
12.51;[0, 1];[0, 2];[1];[0, 1, 2]
12.51;[0, 1];[0, 2];[1, 1];[2]
12.51;[0, 1];[0, 2];[2];[1, 1]
12.51;[0, 1];[0, 2];[0];[0, 1, 1, 2]
12.51;[0, 1];[0, 2];[0, 1, 2];[1]
12.299999999999999;[];[0, 1];[0, 1, 1];[0, 1, 1, 1]
